Gangubai Kathiawadi          ,"Alia Bhatt;Shantanu Maheshwari"
The Kashmir Files            ,"Anupam Kher;Pallavi Joshi;Darshan Kumar;Mithun chakraborty"
The Batman		     ,"Robert Pattinson;Zoe Kravitz;Paul Dano"
